Idx,rhoz(mg/cm^2),G(O K-L3),E(O K-L3),G(Zn K-L3),E(Zn K-L3),G(Zn K-M3),E(Zn K-M3),G(Zn L3-M5),E(Zn L3-M5)
0,0,0,0,0,0,0,0,0,0
1,0.00383039,1.78616,1.72926,1.34388,1.34355,1.34388,1.34363,1.75915,1.73607
2,0.00766078,1.88505,1.76686,1.36963,1.36895,1.36963,1.36912,1.8415,1.79351
3,0.0114912,1.9807,1.79737,1.39102,1.38998,1.39102,1.39025,1.92095,1.84635
4,0.0153216,2.0731,1.82129,1.40806,1.40666,1.40806,1.40702,1.99748,1.89473
5,0.019152,2.16225,1.83909,1.42074,1.41897,1.42074,1.41942,2.0711,1.93879
6,0.0229823,2.24814,1.85123,1.42906,1.42693,1.42906,1.42748,2.14181,1.97868
7,0.0268127,2.33079,1.85815,1.43303,1.43054,1.43303,1.43117,2.20961,2.01454
8,0.0306431,2.41019,1.86023,1.43264,1.42979,1.43264,1.43052,2.27449,2.0465
9,0.0344735,2.48633,1.85787,1.4279,1.42471,1.4279,1.42552,2.33646,2.07468
10,0.0383039,2.55923,1.85142,1.41879,1.41527,1.41879,1.41617,2.39552,2.09922
11,0.0421343,2.62888,1.84122,1.40534,1.4015,1.40534,1.40248,2.45166,2.12024
12,0.0459647,2.69528,1.82758,1.38753,1.38339,1.38753,1.38445,2.50489,2.13787
13,0.0497951,2.75842,1.81082,1.36549,1.36108,1.36549,1.36221,2.55521,2.15221
14,0.0536255,2.81832,1.7912,1.34232,1.33766,1.34232,1.33885,2.60262,2.16339
15,0.0574559,2.87497,1.76899,1.31935,1.31444,1.31935,1.3157,2.64712,2.17151
16,0.0612862,2.92836,1.74444,1.29658,1.29144,1.29658,1.29275,2.6887,2.17669
17,0.0651166,2.97851,1.71779,1.27401,1.26864,1.27401,1.27002,2.72737,2.17904
18,0.068947,3.02541,1.68925,1.25164,1.24605,1.25164,1.24748,2.76313,2.17865
